Название,Продолжительность,movies_duration
Райский город,"Paradise City, 92 мин",92
Одной волшебной ночью,"On a Magical Night, 86 мин",86
Черный лебедь,"Black Swan, 103 мин",103
Непрощенный,110 мин,110
Все ради неё,"Pour elle, 96 мин",96
Золотой ключик или Приключения Буратино,130 мин,130
Бабник,"Spread, 97 мин",97
Бешеные,"Reservoir Dogs, 100 мин",100
Шерлок Холмс,"Sherlock Holmes, 128 мин",128
Мужские слёзы,"Cry Macho, 104 мин",104
Повесть о молодоженах,87 мин,87
Ловец дождя,"Rain Catcher, 17 мин",17
10 свиданий,"10 Things We Should Do Before We Break Up, 75 мин",75
Усыпление,"Inception, 148 мин",148
Встреча в горах,85 мин,85
Инсомния,55 мин,55
Глоток,"Suck, 91 мин",91
Кислород,"Oxygène, 100 мин",100
Гладиаторы Рима,"Gladiatori di Roma, 90 мин",90
Взятка,13 мин,13
Выпуск 10,48 мин,48
Просто помиловать,"Just Mercy, 137 мин",137
Страна садов,"Garden State, 102 мин",102
Даун Хаус,80 мин,80
Уколи ближнего своего,"Prick Thy Neighbour, 14 мин",14
Лулу и Бриггс,"Dog, 101 мин",101
Дом восковых фигур,"House of Wax, 113 мин",113
Темный рыцарь. Возрождение легенды,"The Dark Knight Rises, 165 мин",165
Рок Дог,"Rock Dog, 90 мин",90
Виновный,"The Guilty, 90 мин",90
Прекрасные незнакомцы,"Beautiful Stranger, 89 мин",89
Спящая красавица,"Sleeping Beauty, 75 мин",75
Барби,"Barbie, 114 мин",114
Принцесса цирка,149 мин,149
Кот в сапогах,"Puss in Boots, 90 мин",90
Дети Дон-Кихота,75 мин,75
Последний дом слева,"The Last House on the Left, 110 мин",110
Операция «Валькирия»,"Valkyrie, 121 мин",121
Сотни улиц,"100 Streets, 93 мин",93
"Взрослая дочь, или Тест на...",94 мин,94
Законы привлекательности,"Laws of Attraction, 87 мин",87
Премия,89 мин,89
Пиковая дама,93 мин,93
Любовные штучки,"Liebesdings, 99 мин",99
Мартин Иден,"Martin Eden, 129 мин",129
Аннигиляция,"Annihilation, 115 мин",115
Проглотить обиду,"Avaler des couleuvres, 20 мин",20
Подводная братва,"Shark Tale, 90 мин",90
Крылья,53 мин,53
Практическая магия,"Practical Magic, 104 мин",104
Тутси,"Tootsie, 116 мин",116
Маленький большой герой,"Monkey King Reloaded, 77 мин",77
Двойная петля,"Devotion, 139 мин",139
Волк (2021),"Wolf, 99 мин",99
Половинки,18 мин,18
Первые на Луне,75 мин,75
Точка отрыва,"Action Point, 85 мин",85
Черное золото,"Black Gold, 130 мин",130
Анчартед: на картах не значится,"Uncharted, 115 мин",115
Час Пик,"Rush Hour, 98 мин",98
Золотая птица,"Sone Ki Chidiya, 171 мин",171
Та еще парочка,"Long Shot, 125 мин",125
...А вы любили когда-нибудь?,84 мин,84
Страсть к бюстам,"Breathe In, 98 мин",98
Люди в чёрном 2,"Men in Black II, 88 мин",88
Дюна,"Dune, 155 мин",155
Печки-лавочки,103 мин,103
Неприятность,"Come to Harm, 18 мин",18
Девять жизней,"Nine Lives, 87 мин",87
Звериная ярость,"Primal, 97 мин",97
Караул,96 мин,96
Идентификация Борна,"The Bourne Identity, 113 мин",113
Влажность,"Vlaznost, 113 мин",113
Слон,87 мин,87
Виктория,"Victoria, 60 мин",60
Стряпуха,71 мин,71
"Мужчины, женщины и дети","Men, Women & Children, 119 мин",119
Бывшая девушка,"Crazy Ex-Girlfriend, 42 мин",42
Стюарт Литтл,"Stuart Little, 84 мин",84
Пять невест,103 мин,103
Миссия «Серенити»,"Serenity, 119 мин",119
Время возмездия,"Destroyer, 121 мин",121
Темные времена,"Darkest Hour, 125 мин",125
Дилер,"Pusher, 110 мин",110
Русский бунт,128 мин,128
Черная метка,"Burn Notice, 43 мин",43
Дом с паранормальными явлениями,"A Haunted House 2, 87 мин",87
Принцесса,"Mononoke-hime, 133 мин",133
Пушистые спасатели,"Combat Wombat: Back 2 Back, 81 мин",81
Мона Лиза,"Mona Lisa, 104 мин",104
Когда деревья были большими,95 мин,95
Пиксели,"Pixels, 106 мин",106
Отражение,96 мин,96
Челюсти 2,"Jaws 2, 116 мин",116
День курка,"Boss Level, 100 мин",100
"Дом, который построил Джек","The House That Jack Built, 152 мин",152
Топ-модель,"America's Next Top Model, 43 мин",43
Продай мне свою душу,"Bedazzled, 93 мин",93
Зарница,21 мин,21
Лодыжка,14 мин,14
Кто не спрятался,"The Rental, 88 мин",88
Признания опасного человека,"Confessions of a Dangerous Mind, 113 мин",113
Бэтмен возвращается,"Batman Returns, 126 мин",126
Пит и его дракон,"Pete's Dragon, 102 мин",102
Идеальное убийство,"A Perfect Murder, 107 мин",107
Просто Саша,67 мин,67
Пиросмани,86 мин,86
Мачо и ботан,"21 Jump Street, 109 мин",109
Красная шапочка,"Red Riding Hood, 96 мин",96
Чистая кожа,"Cleanskin, 107 мин",107
"Москва, я терплю тебя",97 мин,97
Не бей копытом!,"Home on the Range, 76 мин",76
С вещами на вылет!,"Débarquement immédiat!, 90 мин",90
Плюс один,96 мин,96
Первый мститель,"Captain America: The First Avenger, 124 мин",124
Очень плохие мамочки 2,"A Bad Moms Christmas, 104 мин",104
Обменяйтесь кольцами,95 мин,95
Мне приснился сон,"Acabo de tener un sueño, 8 мин",8
Чудная долина,80 мин,80
Презумпция виновности,"Présumé coupable, 102 мин",102
Дэни и ее девочки,"The New Mutants, 94 мин",94
Барри Линдон,"Barry Lyndon, 185 мин",185
Сноуден,"Snowden, 134 мин",134
Побег из Африки,"Escape Through Africa, 90 мин",90
Ведьмина гора,"Race to Witch Mountain, 98 мин",98
Энканто,"Encanto, 102 мин",102
Черчилль,"The Gathering Storm, 96 мин",96
Солдаты неудачи,"Tropic Thunder, 121 мин",121
Великолепная семерка,"The Magnificent Seven, 132 мин",132
Мне не больно,104 мин,104
Джокер,"Joker, 122 мин",122
Мёд в голове,"Honig im Kopf, 139 мин",139
Сладкая женщина,98 мин,98
Гамбит,"Gambit, 89 мин",89
Коммунальный детектив,89 мин,89
28 дней спустя,"28 Days Later..., 113 мин",113
Всё ещё Элис,"Still Alice, 101 мин",101
Пара из будущего,104 мин,104
Обитель зла: Проклятие,"Resident Evil: Damnation, 100 мин",100
В долине Эла,"In the Valley of Elah, 121 мин",121
Дорога на Берлин,82 мин,82
Папе снова 17,"17 Again, 102 мин",102
Столкновение с бездной,"Deep Impact, 120 мин",120
Холодная война,"Zimna wojna, 89 мин",89
Жена путешественника во времени,"The Time Traveler's Wife, 107 мин",107
Остановка,"Rest Stop, 80 мин",80
Шаг вперед,"Step Up, 104 мин",104
Манолете,"Manolete, 92 мин",92
Восставший,"Hellraiser, 93 мин",93
Стильная штучка,"Sweet Home Alabama, 108 мин",108
Невыносимая жестокость,"Intolerable Cruelty, 100 мин",100
Дорога,"The Road, 111 мин",111
Роковое влечение,"Fatal Attraction, 119 мин",119
Жизнь за гранью,"After.Life, 104 мин",104
Tomb Raider: Лара Крофт,"Tomb Raider, 118 мин",118
История Золушки: К звёздам,"A Cinderella Story: Starstruck, 100 мин",100
Текстуры,"Lies I Told Myself, 87 мин",87
Тайная жизнь,"The Secret Life of Pets, 86 мин",86
Букшоп,"The Bookshop, 113 мин",113
Телец,"Taurus, 98 мин",98
Разлом,"Skjelvet, 106 мин",106
Механик,"The Mechanic, 93 мин",93
Глоток воздуха,"A Mouthful of Air, 106 мин",106
Песнь дьявола,"A Dark Song, 99 мин",99
Высота,"Altitude, 88 мин",88
Особые отношения,"The Special Relationship, 93 мин",93
Как приручить дракона,"How to Train Your Dragon, 98 мин",98
Охота на Усаму,"Manhunt: The Inside Story of the Hunt for Bin Laden, 102 мин",102
Мортал Комбат,"Mortal Kombat, 110 мин",110
Неприкасаемые,"The Untouchables, 119 мин",119
Кукла,"The Boy, 98 мин",98
Игра в кальмара,"Ojingeo geim, 50 мин",50
Сезон измен,"The Delinquent Season, 103 мин",103
Новогодний выпуск,"Merry Madagascar, 21 мин",21
Коллекторы-2,"Debt Collectors, 97 мин",97
Джерри Магуайер,"Jerry Maguire, 139 мин",139
Тихий омут,"Stillwater, 139 мин",139
Проверка на любовь,91 мин,91
Территория тьмы 3D,"Dark Country, 88 мин",88
Тор,"Thor: Love and Thunder, 118 мин",118
Пена дней,"L'écume des jours, 125 мин",125
Бетховен,"Beethoven, 87 мин",87
Трон эльфов,"Long Zhi Gu: Jingling Wangzuo, 99 мин",99
Быстрые свидания,15 мин,15
Полиция Майами: Отдел нравов,"Miami Vice, 48 мин",48
Лёгкое поведение,"Easy Virtue, 97 мин",97
Колесо любви,89 мин,89
Расплата,"The Accountant, 128 мин",128
Презумпция виновности,"Présumé coupable, 102 мин",102
Клуб мертвых матерей,"The (Dead Mothers) Club, 75 мин",75
Урфин Джус возвращается,76 мин,76
Четверо против банка,"Vier gegen die Bank, 96 мин",96
Все путем,"Everybody's Fine, 100 мин",100
Трижды о любви,88 мин,88
Вторжение,129 мин,129
Фарт,"Luck, 52 мин",52
Фил Спектор,"Phil Spector, 92 мин",92
Призрак,114 мин,114
Охотник на лис,"Foxcatcher, 129 мин",129
Мама не горюй 2,105 мин,105
В ожидании мамы,"Waiting for Mum, 8 мин",8
Ветреная река,"Wind River, 107 мин",107
Из жизни начальника уголовного розыска,93 мин,93
Дорога чести,"Road to Paloma, 91 мин",91
Астробой,"Astro Boy, 94 мин",94
Секс в большом городе 2,"Sex and the City 2, 146 мин",146
Холодно,"Frozen, 102 мин",102
Аборт. Женщины рассказывают,"Abortion: Stories Women Tell, 92 мин",92
Музыка сердца,"Music of the Heart, 124 мин",124
Марафон,110 мин,110
Краденое свидание,"Man Up, 88 мин",88
Люди в чёрном 3,"Men in Black 3, 106 мин",106
Умереть в один день,"Die in One Day, 79 мин",79
Эта безумная любовь,"En attendant Bojangles, 124 мин",124
Про любовь. Только для взрослых,108 мин,108
Врата дракона,"Long men fei jia, 122 мин",122
Хищник,"Predator, 104 мин",104
Мираж,202 мин,202
Войд,11 мин,11
Как веревочка ни вьется,7 мин,7
Боевой конь,"War Horse, 146 мин",146
Суррогатная мать,43 мин,43
Тоня против всех,"I, Tonya, 119 мин",119
Последний охотник на ведьм,"The Last Witch Hunter, 106 мин",106
Большое космическое путешествие,66 мин,66
Тень врага,90 мин,90
Кикбоксер,"Kickboxer, 97 мин",97
Папа,94 мин,94
Параграф 78. Фильм первый,88 мин,88
За гранью реальности,105 мин,105
Призраки бывших подружек,"Ghosts of Girlfriends Past, 100 мин",100
Порочные связи,"Conversations with Other Women, 84 мин",84
Скотт Пилигрим против всех,"Scott Pilgrim vs. the World, 112 мин",112
Заколдованная Элла,"Ella Enchanted, 96 мин",96
Идеальная няня,"Chanson douce, 100 мин",100
Раба любви,94 мин,94
Короли улиц,"Street Kings, 109 мин",109
Билли Эллиот,"Billy Elliot, 110 мин",110
Властелин колец: Возвращение короля,"The Lord of the Rings: The Return of the King, 201 мин",201
Гнев (2021),"Wrath of Man, 119 мин",119
Авиатор,"The Aviator, 163 мин",163
Вечные,"Eternals, 156 мин",156
Смерть тени,"Dood van een Schaduw, 20 мин",20
В августе,118 мин,118
Попугайчики,"Les perruches, 14 мин",14
Гонщики,80 мин,80
Восточная сказка,"Basmati Blues, 105 мин",105
Изобретение лжи,"The Invention of Lying, 100 мин",100
Экзамен,"Exam, 101 мин",101
В прямом эфире,"Raibeuon, 70 мин",70
Вкус жизни,"No Reservations, 100 мин",100
Дело,"Only the Brave, 134 мин",134
В первый раз с тобой,"Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo, 23 мин",23
Вспомнить всё,"Total Recall, 118 мин",118
Чужой,"Alien: Romulus, 119 мин",119
Через кладбище,82 мин,82
Времена Гектора,"Los tiempos de Héctor, 29 мин",29
Обратный отсчет,"Countdown, 90 мин",90
Как создается романтика,"Black Sails, 60 мин",60
Эффект бабочки,"The Butterfly Effect, 113 мин",113
В активном поиске,15 мин,15
Всё и сразу,93 мин,93
Области тьмы,"Limitless, 105 мин",105
Звезда,97 мин,97
Слендермен,"Slender Man, 93 мин",93
Жили-были,85 мин,85
Замбезия,"Zambezia, 82 мин",82
Батька,94 мин,94
Я вам больше не верю,88 мин,88
Лицензия на брак,"License to Wed, 91 мин",91
Хочу как ты,"The Change-Up, 112 мин",112
Образцовый самец 2,"Zoolander 2, 101 мин",101
Комната,"Room, 118 мин",118
Дочь волка,"Daughter of the Wolf, 88 мин",88
"Яды, или Всемирная история отравлений",106 мин,106
"Безумен, но не болен","Crazy, Not Insane, 119 мин",119
Святым тут не место,"There Are No Saints, 100 мин",100
Зелёный шершень,"The Green Hornet, 119 мин",119
Выпуск 5,47 мин,47
Американское великолепие,"American Splendor, 101 мин",101
Человек-невидимка,"The Invisible Man, 124 мин",124
Казино Рояль,"Casino Royale, 139 мин",139
Враги,78 мин,78
Небо в алмазах,115 мин,115
Ослепленный желаниями,"Bedazzled, 93 мин",93
В гостях у Элис,"Home Again, 97 мин",97
Страстные крошки,"Babygirl, 114 мин",114
Пока не сыграл в ящик,"The Bucket List, 97 мин",97
Цель вижу,90 мин,90
Моя госпожа,"My Mistress, 104 мин",104
Черная пантера: Ваканда навсегда,"Black Panther: Wakanda Forever, 161 мин",161
Жажда смерти,"Death Wish, 107 мин",107
Луис навсегда,"Siempre, Luis, 95 мин",95
Игры разумов,"The Professor and the Madman, 124 мин",124
Смертельный номер,45 мин,45
Мейер Лански,"Lansky, 119 мин",119
Король Лев,"The Lion King, 118 мин",118
Летний дождь,98 мин,98
Проклятье 3D 2,"Sadako 3D 2, 96 мин",96
Уцелевший,"Lone Survivor, 116 мин",116
ВАЛЛ·И,"WALL·E, 98 мин",98
Илья Муромец,80 мин,80
Лучший стрелок,"Top Gun, 109 мин",109
Сумерки. Сага. Рассвет: Часть 2,"The Twilight Saga: Breaking Dawn - Part 2, 115 мин",115
Близнецы-драконы,"Seong lung wui, 104 мин",104
Кино про Алексеева,95 мин,95
Мымра,83 мин,83
Голос,"Boiseu, 60 мин",60
Все наоборот,68 мин,68
Мимино,92 мин,92
Современный кабель,90 мин,90
Спайдервик: Хроники,"The Spiderwick Chronicles, 96 мин",96
Путешествие 2: Таинственный остров,"Journey 2: The Mysterious Island, 94 мин",94
"Джефф, живущий дома","Jeff, Who Lives at Home, 83 мин",83
Средиземноморье,"Mediterráneo, 109 мин",109
Пингвины Мадагаскара,"Penguins of Madagascar, 92 мин",92
Невезучие,"Tais-toi!, 85 мин",85
Приключения Реми,"Rémi sans famille, 105 мин",105
Не пойман - не вор,"Inside Man, 129 мин",129
Зачарованная 2,"Disenchanted, 119 мин",119
Чужой 3,"Alien³, 115 мин",115
Предчувствие,"Premonition, 96 мин",96
Великий Гэтсби,"The Great Gatsby, 143 мин",143
Высокая горка,20 мин,20
Фотографии,"Snapshots, 95 мин",95
После. Навсегда,"After Everything, 93 мин",93
Дикая штучка,"Wild Target, 98 мин",98
Юный вождь Виннету,"Der junge Häuptling Winnetou, 103 мин",103
Святая Джуди,"Saint Judy, 106 мин",106
Новогодний корпоратив,"Office Christmas Party, 105 мин",105
Кома,144 мин,144
Очень плохие девчонки,"Rough Night, 101 мин",101
Кролик Багз или Дорожный Бегун,"The Bugs Bunny/Road Runner Movie, 98 мин",98
На расстоянии удара,"Striking Distance, 102 мин",102
Одна встреча,"Une rencontre, 81 мин",81
Катись!,"Whip It, 110 мин",110
Крокодил Данди в Голливуде,"The Very Excellent Mr. Dundee, 88 мин",88
Дюнкерк,"Dunkirk, 106 мин",106
Пятница 13-е — Часть 5: Новое начало,"Friday the 13th: A New Beginning, 92 мин",92
Лесси. Возвращение домой,"Lassie - Eine abenteuerliche Reise, 96 мин",96
"Анжелика, маркиза ангелов","Angélique, marquise des anges, 115 мин",115
Дюплекс,"Duplex, 89 мин",89
Повелитель стихий,"The Last Airbender, 103 мин",103
King’s Man: Начало,"The King's Man, 131 мин",131
Кунг-фу Панда,"Kung Fu Panda 4, 94 мин",94
Хороший доктор,"The Good Doctor, 41 мин",41
Запретные удовольствия,"Tara - Prazeres Proibidos, 80 мин",80
Конг. Остров черепа,"Kong: Skull Island, 118 мин",118
Нежданно-негаданно,87 мин,87
Пусть говорят,"Let Them All Talk, 108 мин",108
Видимость гнева,"The Upside of Anger, 118 мин",118
Пора бежать,"Faux fuyants, 12 мин",12
Маяк,"The Lighthouse, 109 мин",109
В доме отца,"Casa de mi padre, 81 мин",81
Убийство депутата,416 мин,416
Воины света,"Daybreakers, 94 мин",94
Железная леди,"The Iron Lady, 105 мин",105
Челюсти 3D,"Shark Night 3D, 95 мин",95
3 дня на убийство,"3 Days to Kill, 117 мин",117
Северная Атлантика,"North Atlantic, 15 мин",15
Любовь без пересадок,"Amour & turbulences, 96 мин",96
Тень,50 мин,50
Команда котиков,"Seal Team, 101 мин",101
День выборов 2,105 мин,105
Настоящие боссы,"Like a Boss, 83 мин",83
Пчелка Майя,"Mitsubachi Mâya no bôken, 25 мин",25
Под Личиной,"Be Somebody, 88 мин",88
7 дней в Аду,"7 Days in Hell, 42 мин",42
Хочу домой,14 мин,14
Выйти из группы,100 мин,100
Некуда бежать,"Nowhere to Run, 94 мин",94
Евдокия,106 мин,106
Маппеты 2,"Muppets Most Wanted, 107 мин",107
Чайка,"The Seagull, 98 мин",98
Красные яблоки,"Red Apples, 15 мин",15
Прогулка,"The Walk, 123 мин",123
Домовой,95 мин,95
Очень страшное кино,"Scary Movie, 88 мин",88
В лесной чаще,20 мин,20
Трудный ребенок,"Problem Child, 81 мин",81
Звезда родилась,"A Star Is Born, 136 мин",136
Дом Уиджи,"Ouija House, 95 мин",95
Бетховен 4,"Beethoven's 4th, 93 мин",93
Монстро,"Cloverfield, 81 мин",81
Настоящее будущее,94 мин,94
Касл,"Castle, 43 мин",43
Спасительный рассвет,"Rescue Dawn, 125 мин",125
"Он, я и его друзья","You, Me and Dupree, 110 мин",110
Двенадцать друзей Оушена,"Ocean's Twelve, 120 мин",120
Вокзал для двоих,141 мин,141
Исступление,"Arrebato, 115 мин",115
Цветы войны,"Jin ling shi san chai, 146 мин",146
По волчьим законам,"Animal Kingdom, 60 мин",60
Кукла-клоун,"ClownDoll, 93 мин",93
Убийца,"Sicario, 121 мин",121
Параллельные миры,"W, 60 мин",60
Весёлый огород,11 мин,11
Ярмарка тщеславия,"Vanity Fair, 60 мин",60
Зачётный препод 2,"Fack ju Göhte 2, 115 мин",115
Вид на убийство,"A View to a Kill, 131 мин",131
Кровь луны,"Summer's Blood, 91 мин",91
Молодые развратницы,"Nuga geunyeowa jasseulkka?, 109 мин",109
Неадекватные люди,102 мин,102
Любовь в большом городе 3,95 мин,95
Последний отпуск,"Last Holiday, 112 мин",112
Цветные фантазии,"Banjiui yeowang, 75 мин",75
Мармадюк,"Marmaduke, 88 мин",88
Мой папа написал порно,"Noah's Arc, 22 мин",22
Мирный воин,"Peaceful Warrior, 120 мин",120
Решала 2,80 мин,80
Аве Мария (2021),"Ave Marie, 94 мин",94
Последствия войны,87 мин,87
Пассажиры,"Passengers, 116 мин",116
Самолёты: Огонь и вода,"Planes: Fire and Rescue, 83 мин",83
Ангелы Чарли,"Charlie's Angels, 98 мин",98
Алекс и Эмма,"Alex & Emma, 96 мин",96
"Человек, который изменил всё","Moneyball, 133 мин",133
Кокаин,"Blow, 123 мин",123
Капернаум,"Capharnaüm, 126 мин",126
Три тополя на Плющихе,79 мин,79
Дом солнца,95 мин,95
История игрушек 4,"Toy Story 4, 100 мин",100
Проклятая,"Cursed, 60 мин",60
Перевозчик 2,"Le Transporteur II, 87 мин",87
Антураж,"Entourage, 104 мин",104
Маленькое красное платье,"In Fabric, 118 мин",118
Мечтатели,"The Dreamers, 116 мин",116
Планета бурь,78 мин,78
Дом у озера,"The Lake House, 99 мин",99
Битлджюс,"Beetlejuice, 92 мин",92
Разные судьбы,107 мин,107
Пока тюрьма не разлучит нас,"Till jail do us part, 14 мин",14
Грязные прелести,"Dirty Pretty Things, 97 мин",97
Идеальный наркотик,"Perfect Drug, 14 мин",14
Братство по крови,"The Reunion, 96 мин",96
Впервые замужем,99 мин,99
"Ничего, кроме правды","Nothing But the Truth, 108 мин",108
Няньки,"Twin Sitters, 93 мин",93
Поучительная история,"A Teachable Moment, 9 мин",9
Король Артур,"King Arthur, 126 мин",126
Пиноккио,"Pinokio, 60 мин",60
Крестная мама,"La Daronne, 104 мин",104
28 дней,"28 Days Later..., 113 мин",113
"Звонят, откройте дверь",79 мин,79
Начало,"Inception, 148 мин",148
Вид сверху,"View from the Top, 87 мин",87
Дети шпионов,"Spy Kids, 88 мин",88
Игра с ключами,"El juego de las llaves, 107 мин",107
Калифорнийский дорожный патруль,"CHIPS, 100 мин",100
Агент Ева,"Ava, 96 мин",96
Не отвечай,"Do Not Reply, 98 мин",98
Левша,"Southpaw, 124 мин",124
"Ну, здравствуй, Оксана Соколова!",99 мин,99
Наш Фауст,"Notre Faust, 18 мин",18
Архипелаг,100 мин,100
Золотой век,"Elizabeth: The Golden Age, 114 мин",114
Брюс Всемогущий,"Bruce Almighty, 97 мин",97
Спор с Дарвином,"Questioning Darwin, 59 мин",59
Королевские каникулы,"Trouble, 87 мин",87
Пылающая равнина,"The Burning Plain, 107 мин",107
Схема,"The Scheme, 68 мин",68
Пёс Барбос и необычный кросс,10 мин,10
Бешенство,100 мин,100
Аленький цветочек,42 мин,42
Как стать звездой,142 мин,142
О теле и душе,"Testről és Lélekről, 116 мин",116
Армагеддон,"Armageddon, 144 мин",144
Клятва,"The Vow, 104 мин",104
Перед закатом,"Before Sunset, 80 мин",80
Истерики ребенка,"Ace Ventura: When Nature Calls, 90 мин",90
Дикие предки,"Early Man, 89 мин",89
Лара Крофт: Расхитительница гробниц,"Lara Croft: Tomb Raider, 100 мин",100
Бивень,"Tusk, 102 мин",102
Том и Джерри,"Tom and Jerry, 8 мин",8
Дьявол из мобилки,"Bedeviled, 98 мин",98
Знакомьтесь: Дэйв,"Meet Dave, 90 мин",90
Вечера на хуторе близ Диканьки,66 мин,66
Не/смотря ни на что,"Mein Blind Date mit dem Leben, 111 мин",111
Тарас Бульба,131 мин,131
Магия чёрная и белая,76 мин,76
Сумерки,"Twilight, 122 мин",122
Тайная жизнь домашних животных,"The Secret Life of Pets, 86 мин",86
Серые сады,"Grey Gardens, 104 мин",104
Убитые молнией,75 мин,75
Мужчины в большом городе 2,"Männerherzen... und die ganz ganz große Liebe, 112 мин",112
Статус: Всё сложно,"In a Relationship, 92 мин",92
Неуловимые,86 мин,86
Годзилла,"Godzilla, 123 мин",123
Буду помнить,94 мин,94
Унесённые,"Sen to Chihiro no kamikakushi, 124 мин",124
Характер линии,"The Cinder Path, 145 мин",145
Смертельный удар,"Kill Switch, 96 мин",96
Пристанище страха,"Realms, 90 мин",90
Вечный заключённый,"The Forever Prisoner, 119 мин",119
Вечеринка на вылет,"Murder Party, 103 мин",103
Вернуть отправителю,"Return to Sender, 95 мин",95
Если бы стены могли говорить 2,"If These Walls Could Talk 2, 96 мин",96
Предсказание,"The Big Door Prize, 32 мин",32
Американская дочь,98 мин,98
Энид,"Enid, 82 мин",82
Синоптик,"The Weather Man, 102 мин",102
Зеленые цепочки,98 мин,98
Рассказ,"The Handmaid's Tale, 60 мин",60
Нюрнберг,"Nurnberg, 131 мин",131
Карлик Нос,82 мин,82
Смывайся,"Flushed Away, 81 мин",81
Балто,"Balto, 71 мин",71
Одержимая,"Des Teufels Bad, 121 мин",121
Ещё раз про любовь,96 мин,96
Брат,100 мин,100
Теория хаоса,"Chaos Theory, 84 мин",84
Он тебя не отпустит,"Every Breath You Take, 105 мин",105
Неоконченная повесть,100 мин,100
Мольер,"Molière, 120 мин",120
Свадьба,95 мин,95
Дом духов,"The House of the Spirits, 145 мин",145
Моя первая свадьба,"Mi primera boda, 102 мин",102
Ржев,113 мин,113
Вы только посмотрите на нее,"Would You Look at Her, 19 мин",19
Звездная ночь,"Gohoui byuli bitnaneun bame, 20 мин",20
Автобус,15 мин,15
Незваные гости,"Shut In, 90 мин",90
Браслет-2,74 мин,74
Золотой глаз,"GoldenEye, 130 мин",130
Почти знамениты,"Almost Famous, 123 мин",123
Монолог,"Kusuriya no Hitorigoto, 23 мин",23
Грязная война,"Dirty War, 90 мин",90
Голубоглазый японец,87 мин,87
Кин-дза-дза!,135 мин,135
В добрый час!,100 мин,100
Траффик,"Traffic, 147 мин",147
Из глубин,"No Way Up, 90 мин",90
Безбашенная пуля,"Hollow Point, 85 мин",85
Город порока,"Broken City, 109 мин",109
Сын Америки,"Native Son, 104 мин",104
Опасный элемент,"Radioactive, 111 мин",111
Удар! Еще удар!,100 мин,100
Не твоё тело,"Moglie e marito, 106 мин",106
Центральный Парк,"Central Park, 25 мин",25
Выпуск 1,48 мин,48
На земле,"Taare Zameen Par, 162 мин",162
Берег юности,81 мин,81
Ашик-Кериб,73 мин,73
Маленький сапожник,"Le Petit Cordonnier, 5 мин",5
No comment,107 мин,107
Пропала собака,"Dog Gone, 95 мин",95
Доброе утро,"Morning Glory, 102 мин",102
Кто из нас?,"Hangimiz Sevmedik?, 120 мин",120
Фабрика грез,"Traumfabrik, 125 мин",125
Замолчавший,"Wired Shut, 95 мин",95
Призрак в доспехах,"Ghost in the Shell, 106 мин",106
Гражданин США,"Citizen USA: A 50 State Road Trip, 51 мин",51
Дивергент,"Divergent, 134 мин",134
Дюна 2,"Dune: Part Two, 166 мин",166
Королева Испании,"La reina de España, 128 мин",128
Виктор Франкенштейн,"Victor Frankenstein, 109 мин",109
Время псов,"The Hunter's Prayer, 90 мин",90
Спасите наши души,47 мин,47
Фотосессия,"Picture Day, 93 мин",93
Лучшее во мне,"The Best of Me, 118 мин",118
Герой,115 мин,115
Легенды осени,"Legends of the Fall, 133 мин",133
Парящий тигр,"The Tiger Rising, 102 мин",102
Портрет второй жены,50 мин,50
Спать стоя,"À dormir debout, 7 мин",7
Варкрафт,"Warcraft, 123 мин",123
"Гори, гори, моя звезда",89 мин,89
Рождество в шоколаде,"Chocolate Covered Christmas, 84 мин",84
Братья,"Brothers, 105 мин",105
Беременный,81 мин,81
Волкодав,103 мин,103
Белое солнце пустыни,84 мин,84
Гранат,45 мин,45
Ночной Петербург,106 мин,106
Цербер,45 мин,45
Улыбка,"Smile, 115 мин",115
«Старый» Новый год,"New Year's Eve, 118 мин",118
Голубая линия,"The Thin Blue Line, 101 мин",101
Время,"In Time, 109 мин",109
Повесть о настоящем человеке,96 мин,96
Хэллоуин,"Halloween, 101 мин",101
Пристрели их,"Shoot 'Em Up, 86 мин",86
Венеция зовёт,"Venise n'est pas en Italie, 94 мин",94
Враг государства,"Enemy of the State, 132 мин",132
Охотники на гангстеров,"Gangster Squad, 113 мин",113
Красотки в бегах,"Drive-Away Dolls, 84 мин",84
Упражнения в прекрасном,93 мин,93
Лев,"Lion, 118 мин",118
Страшно красив,"Beastly, 86 мин",86
На гребне волны,"Point Break, 117 мин",117
Легенда о Зелёном Рыцаре,"The Green Knight, 130 мин",130
Космический джем,"Space Jam, 87 мин",87
Ночной,"Red Eye, 85 мин",85
Невидимка,"Hollow Man, 112 мин",112
Меня это не касается...,95 мин,95
Развратная красота,"Pretty Woman, 115 мин",115
Субботние девушки,"Les filles du samedi, 14 мин",14
Экспрессия,"Midnight Expression, 27 мин",27
Блокада,52 мин,52
И грянул шторм,"The Finest Hours, 117 мин",117
Три мушкетера,"Les trois mousquetaires: D'Artagnan, 121 мин",121
Коммандо,"Commando, 87 мин",87
Летучий отряд Скотланд-Ярда,"The Sweeney, 112 мин",112
Секс втроем 2,"Threesomething, 75 мин",75
На гребне волны,"Point Break, 117 мин",117
Черная Молния,100 мин,100
Плюшевый монстр,"Lino: Uma Aventura de Sete Vidas, 94 мин",94
Троя,"Troy, 163 мин",163
